2025-01-28 07:11:25 status unpacked gzip:arm64 1.12-1
2025-01-28 07:11:25 install hostname:arm64 <none> 3.23+nmu1
2025-01-28 07:11:25 status half-installed hostname:arm64 3.23+nmu1
2025-01-28 07:11:25 status unpacked hostname:arm64 3.23+nmu1
2025-01-28 07:11:25 install init-system-helpers:all <none> 1.65.2
2025-01-28 07:11:25 status half-installed init-system-helpers:all 1.65.2
2025-01-28 07:11:25 status unpacked init-system-helpers:all 1.65.2
2025-01-28 07:11:25 install libacl1:arm64 <none> 2.3.1-3
2025-01-28 07:11:25 status half-installed libacl1:arm64 2.3.1-3
2025-01-28 07:11:25 status unpacked libacl1:arm64 2.3.1-3
2025-01-28 07:11:26 install libapt-pkg6.0:arm64 <none> 2.6.1
2025-01-28 07:11:26 status half-installed libapt-pkg6.0:arm64 2.6.1
2025-01-28 07:11:26 status unpacked libapt-pkg6.0:arm64 2.6.1
2025-01-28 07:11:26 install libattr1:arm64 <none> 1:2.5.1-4
2025-01-28 07:11:26 status half-installed libattr1:arm64 1:2.5.1-4
2025-01-28 07:11:26 status unpacked libattr1:arm64 1:2.5.1-4
2025-01-28 07:11:26 install libaudit-common:all <none> 1:3.0.9-1
2025-01-28 07:11:26 status half-installed libaudit-common:all 1:3.0.9-1
2025-01-28 07:11:27 status unpacked libaudit-common:all 1:3.0.9-1
2025-01-28 07:11:27 install libaudit1:arm64 <none> 1:3.0.9-1
2025-01-28 07:11:27 status half-installed libaudit1:arm64 1:3.0.9-1
2025-01-28 07:11:27 status unpacked libaudit1:arm64 1:3.0.9-1
2025-01-28 07:11:27 install libblkid1:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:27 status half-installed libblkid1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:27 status unpacked libblkid1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:27 install libbz2-1.0:arm64 <none> 1.0.8-5+b1
2025-01-28 07:11:27 status half-installed libbz2-1.0:arm64 1.0.8-5+b1
2025-01-28 07:11:27 status unpacked libbz2-1.0:arm64 1.0.8-5+b1
2025-01-28 07:11:28 install libc-bin:arm64 <none> 2.36-9+deb12u9
2025-01-28 07:11:28 status half-installed libc-bin:arm64 2.36-9+deb12u9
2025-01-28 07:11:28 status unpacked libc-bin:arm64 2.36-9+deb12u9
2025-01-28 07:11:28 upgrade libc6:arm64 2.36-9+deb12u9 2.36-9+deb12u9
2025-01-28 07:11:28 status half-configured libc6:arm64 2.36-9+deb12u9
2025-01-28 07:11:28 status unpacked libc6:arm64 2.36-9+deb12u9
2025-01-28 07:11:28 status half-installed libc6:arm64 2.36-9+deb12u9
2025-01-28 07:11:31 status unpacked libc6:arm64 2.36-9+deb12u9
2025-01-28 07:11:31 install libcap-ng0:arm64 <none> 0.8.3-1+b3
2025-01-28 07:11:31 status half-installed libcap-ng0:arm64 0.8.3-1+b3
2025-01-28 07:11:31 status unpacked libcap-ng0:arm64 0.8.3-1+b3
2025-01-28 07:11:31 install libcap2:arm64 <none> 1:2.66-4
2025-01-28 07:11:31 status half-installed libcap2:arm64 1:2.66-4
2025-01-28 07:11:31 status unpacked libcap2:arm64 1:2.66-4
2025-01-28 07:11:32 install libcom-err2:arm64 <none> 1.47.0-2
2025-01-28 07:11:32 status half-installed libcom-err2:arm64 1.47.0-2
2025-01-28 07:11:32 status unpacked libcom-err2:arm64 1.47.0-2
2025-01-28 07:11:32 install libcrypt1:arm64 <none> 1:4.4.33-2
2025-01-28 07:11:32 status half-installed libcrypt1:arm64 1:4.4.33-2
2025-01-28 07:11:32 status unpacked libcrypt1:arm64 1:4.4.33-2
2025-01-28 07:11:32 install libdb5.3:arm64 <none> 5.3.28+dfsg2-1
2025-01-28 07:11:32 status half-installed libdb5.3:arm64 5.3.28+dfsg2-1
2025-01-28 07:11:33 status unpacked libdb5.3:arm64 5.3.28+dfsg2-1
2025-01-28 07:11:33 install libdebconfclient0:arm64 <none> 0.270
2025-01-28 07:11:33 status half-installed libdebconfclient0:arm64 0.270
2025-01-28 07:11:33 status unpacked libdebconfclient0:arm64 0.270
2025-01-28 07:11:33 install libext2fs2:arm64 <none> 1.47.0-2
2025-01-28 07:11:33 status half-installed libext2fs2:arm64 1.47.0-2
2025-01-28 07:11:33 status unpacked libext2fs2:arm64 1.47.0-2
2025-01-28 07:11:33 install libffi8:arm64 <none> 3.4.4-1
2025-01-28 07:11:33 status half-installed libffi8:arm64 3.4.4-1
2025-01-28 07:11:33 status unpacked libffi8:arm64 3.4.4-1
2025-01-28 07:11:34 install libgcc-s1:arm64 <none> 12.2.0-14
2025-01-28 07:11:34 status half-installed libgcc-s1:arm64 12.2.0-14
2025-01-28 07:11:34 status unpacked libgcc-s1:arm64 12.2.0-14
2025-01-28 07:11:34 install libgcrypt20:arm64 <none> 1.10.1-3
2025-01-28 07:11:34 status half-installed libgcrypt20:arm64 1.10.1-3
2025-01-28 07:11:34 status unpacked libgcrypt20:arm64 1.10.1-3
2025-01-28 07:11:34 install libgmp10:arm64 <none> 2:6.2.1+dfsg1-1.1
2025-01-28 07:11:34 status half-installed libgmp10:arm64 2:6.2.1+dfsg1-1.1
2025-01-28 07:11:35 status unpacked libgmp10:arm64 2:6.2.1+dfsg1-1.1
2025-01-28 07:11:35 install libgnutls30:arm64 <none> 3.7.9-2+deb12u3
2025-01-28 07:11:35 status half-installed libgnutls30:arm64 3.7.9-2+deb12u3
2025-01-28 07:11:35 status unpacked libgnutls30:arm64 3.7.9-2+deb12u3
2025-01-28 07:11:35 install libgpg-error0:arm64 <none> 1.46-1
2025-01-28 07:11:35 status half-installed libgpg-error0:arm64 1.46-1
2025-01-28 07:11:36 status unpacked libgpg-error0:arm64 1.46-1
2025-01-28 07:11:36 install libhogweed6:arm64 <none> 3.8.1-2
2025-01-28 07:11:36 status half-installed libhogweed6:arm64 3.8.1-2
